Model: emg22	Value	Error
amp	0.413505488823681	0.003667416802056693
mu	60.95030114568221	6.860730867388632e-06
sigma	8.013465994422537e-05	3.653383658101337e-06
theta	0.762555466075788	0.01765671199042335
eta_m1	0.8616862619258016	0.069489183153967
eta_m2	0.13831373807419844	0.0
tau_m1	4.027046205704226e-05	1.130126021255031e-05
tau_m2	0.0001255067820892538	2.3805353847953613e-05
eta_p1	0.9282481765525602	0.020823664235147626
eta_p2	0.0717518234474398	0.0
tau_p1	0.00015047417083592407	1.0790349006991752e-05
tau_p2	0.0007903194870376516	0.00024355450659313609
bkg_c	0.29508174513285906	0.10189965041778522
